sex	lft	thinness.grade.3	thinness.grade.2	thinness.grade.1	overweight	obesity.I
F	2	13.24	13.9	14.83	18.02	19.81
F	2.5	13.1	13.74	14.63	17.76	19.55
F	3	12.98	13.6	14.47	17.56	19.36
F	3.5	12.86	13.47	14.32	17.4	19.23
F	4	12.73	13.34	14.19	17.28	19.15
F	4.5	12.61	13.21	14.06	17.19	19.12
F	5	12.5	13.09	13.94	17.15	19.17
F	5.5	12.4	12.99	13.86	17.2	19.34
F	6	12.32	12.93	13.82	17.34	19.65
F	6.5	12.28	12.9	13.82	17.53	20.08
F	7	12.26	12.91	13.86	17.75	20.51
F	7.5	12.27	12.95	13.93	18.03	21.01
F	8	12.31	13	14.02	18.35	21.57
F	8.5	12.37	13.08	14.14	18.69	22.18
F	9	12.44	13.18	14.28	19.07	22.81
F	9.5	12.53	13.29	14.43	19.45	23.46
F	10	12.64	13.43	14.61	19.86	24.11
F	10.5	12.78	13.59	14.81	20.29	24.77
F	11	12.95	13.79	15.05	20.74	25.42
F	11.5	13.15	14.01	15.32	21.2	26.05
F	12	13.39	14.28	15.62	21.68	26.67
F	12.5	13.65	14.56	15.93	22.14	27.24
F	13	13.92	14.85	16.26	22.58	27.76
F	13.5	14.2	15.14	16.57	22.98	28.2
F	14	14.48	15.43	16.88	23.34	28.57
F	14.5	14.75	15.72	17.18	23.66	28.87
F	15	15.01	15.98	17.45	23.94	29.11
F	15.5	15.25	16.22	17.69	24.17	29.29
F	16	15.46	16.44	17.91	24.37	29.43
F	16.5	15.63	16.62	18.09	24.54	29.56
F	17	15.78	16.77	18.25	24.7	29.69
F	17.5	15.9	16.89	18.38	24.85	29.84
F	18	16	17	18.5	25	30
