sex	lft	thinness.grade.3	thinness.grade.2	thinness.grade.1	overweight	obesity.I
M	2	13.37	14.12	15.14	18.41	20.09
M	2.5	13.22	13.94	14.92	18.13	19.8
M	3	13.09	13.79	14.74	17.89	19.57
M	3.5	12.97	13.64	14.57	17.69	19.39
M	4	12.86	13.52	14.43	17.55	19.29
M	4.5	12.76	13.41	14.31	17.47	19.26
M	5	12.66	13.31	14.21	17.42	19.3
M	5.5	12.58	13.22	14.13	17.45	19.47
M	6	12.5	13.15	14.07	17.55	19.78
M	6.5	12.45	13.1	14.04	17.71	20.23
M	7	12.42	13.08	14.04	17.92	20.63
M	7.5	12.41	13.09	14.08	18.16	21.09
M	8	12.42	13.11	14.15	18.44	21.6
M	8.5	12.45	13.17	14.24	18.76	22.17
M	9	12.5	13.24	14.35	19.1	22.77
M	9.5	12.57	13.34	14.49	19.46	23.39
M	10	12.66	13.45	14.64	19.84	24
M	10.5	12.77	13.58	14.8	20.2	24.57
M	11	12.89	13.72	14.97	20.55	25.1
M	11.5	13.03	13.87	15.19	20.89	25.58
M	12	13.18	14.05	15.35	21.22	26.02
M	12.5	13.37	14.25	15.58	21.56	26.43
M	13	13.59	14.48	15.84	21.91	26.84
M	13.5	13.83	14.74	16.12	22.27	27.25
M	14	14.09	15.01	16.41	22.62	27.63
M	14.5	14.35	15.28	16.69	22.96	27.98
M	15	14.6	15.55	16.98	23.29	28.3
M	15.5	14.86	15.82	17.26	23.6	28.6
M	16	15.12	16.08	17.54	23.9	28.88
M	16.5	15.36	16.34	17.8	24.19	29.14
M	17	15.6	16.58	18.05	24.46	29.41
M	17.5	15.81	16.8	18.28	24.73	29.7
M	18	16	17	18.5	25	30
