msgcode	msg
11	Het advies kan niet worden bepaald. Voer de vorige lengtemeting in.
12	Het advies kan niet worden bepaald. Voer eerst de lengte bij geboorte in.
13	Het advies kan niet worden bepaald. Voer eerst het geboortegewicht in.
14	Het advies kan niet worden bepaald. Voer zowel de lengte van de moeder als de vader in.
15	Voer de datum van de huidige meting in.
16	Voer de geboortedatum in.
17	Voer de gegevens in.
18	Voer de lengte bij de huidige meting in.
19	Voer het geslacht in.
20	Voer etniciteit in.
21	De JGZ-richtlijn lengtegroei is bedoeld voor kinderen tot 18 jaar.
22	Het kind is nog te jong om een advies te kunnen geven.
31	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: In principe geen verwijzing nodig, naar eigen inzicht handelen.
41	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de huidige lengte en de lengte bij geboorte onder de -2 SD vallen.
42	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de huidige lengte en het geboortgegewicht onder de -2 SD vallen.
43	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de lengte < -2 SDS is en de lengte meer dan 1,6 SD afwijkt ten opzichte van de target height.
44	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de lengte < -2,5 SD is.
45	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de lengte < -3 SDS is en het geboortegewicht >= 2500 gram is.
46	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de lengte > 2 SDS is en de lengte meer dan 2 SD afwijkt ten opzichte van de target height.
47	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de lengte > 2,5 SD is.
48	Het advies volgens de JGZ-richtlijn lengtegroei is als volgt: Verwijzen naar huisarts/kinderarts, omdat de lengte > 3 SDS is.
